Index: 314, curve = 2, point = 313
Index: 315, curve = 2, point = 314
Index: 316, curve = 2, point = 315
Index: 317, curve = 2, point = 316
Index: 318, curve = 2, point = 317
Index: 319, curve = 2, point = 318
Index: 320, curve = 2, point = 319
Index: 321, curve = 2, point = 320
Index: 322, curve = 2, point = 321
Index: 323, curve = 2, point = 322
Index: 324, curve = 2, point = 323
Index: 325, curve = 2, point = 324
Index: 326, curve = 2, point = 325
Index: 327, curve = 2, point = 326
Index: 328, curve = 2, point = 327
Index: 329, curve = 2, point = 328
Index: 330, curve = 2, point = 329
Index: 331, curve = 2, point = 330
Index: 332, curve = 2, point = 331
Index: 333, curve = 2, point = 332
Index: 334, curve = 2, point = 333
Index: 335, curve = 2, point = 334
Index: 336, curve = 2, point = 335
Index: 337, curve = 2, point = 336
Index: 338, curve = 2, point = 337
Index: 339, curve = 2, point = 338
Index: 340, curve = 2, point = 339
Index: 341, curve = 2, point = 340
Index: 342, curve = 2, point = 341
Index: 343, curve = 2, point = 342
Index: 344, curve = 2, point = 343
Index: 345, curve = 2, point = 344
Index: 346, curve = 2, point = 345
Index: 347, curve = 2, point = 346
Index: 348, curve = 2, point = 347
Index: 349, curve = 2, point = 348
Index: 350, curve = 2, point = 349
Index: 351, curve = 2, point = 350
Index: 352, curve = 2, point = 351
Index: 353, curve = 2, point = 352
Index: 354, curve = 2, point = 353
Index: 355, curve = 2, point = 354
Index: 356, curve = 2, point = 355
Index: 357, curve = 2, point = 356
Index: 358, curve = 2, point = 357
Index: 359, curve = 2, point = 358
Index: 360, curve = 2, point = 359
Index: 361, curve = 2, point = 360
Index: 362, curve = 2, point = 361
Index: 363, curve = 2, point = 362
Index: 364, curve = 2, point = 363
Index: 365, curve = 2, point = 364
Index: 366, curve = 2, point = 365
Index: 367, curve = 2, point = 366
Index: 368, curve = 2, point = 367
Index: 369, curve = 2, point = 368
Index: 370, curve = 2, point = 369
Index: 371, curve = 2, point = 370
Index: 372, curve = 2, point = 371
Index: 373, curve = 2, point = 372
Index: 374, curve = 2, point = 373
Index: 375, curve = 2, point = 374
Index: 376, curve = 2, point = 375
Index: 377, curve = 2, point = 376
Index: 378, curve = 2, point = 377
Index: 379, curve = 2, point = 378
Index: 380, curve = 2, point = 379
Index: 381, curve = 2, point = 380
Index: 382, curve = 2, point = 381
Index: 383, curve = 2, point = 382
Index: 384, curve = 2, point = 383
Index: 385, curve = 2, point = 384
Index: 386, curve = 2, point = 385
Index: 387, curve = 2, point = 386
Index: 388, curve = 2, point = 387
Index: 389, curve = 2, point = 388
Index: 390, curve = 2, point = 389
Index: 391, curve = 2, point = 390
Index: 392, curve = 2, point = 391
Index: 393, curve = 2, point = 392
Index: 394, curve = 2, point = 393
Index: 395, curve = 2, point = 394
Index: 396, curve = 2, point = 395
Index: 397, curve = 2, point = 396
Index: 398, curve = 2, point = 397
Index: 399, curve = 2, point = 398
Index: 400, curve = 2, point = 399
Index: 401, curve = 2, point = 400
Index: 402, curve = 2, point = 401
Index: 403, curve = 2, point = 402
Index: 404, curve = 2, point = 403
Index: 405, curve = 2, point = 404
Index: 406, curve = 2, point = 405
Index: 407, curve = 2, point = 406
Index: 408, curve = 2, point = 407
Index: 409, curve = 2, point = 408
Index: 410, curve = 2, point = 409
Index: 411, curve = 2, point = 410
Index: 412, curve = 2, point = 411
Index: 413, curve = 2, point = 412
Index: 414, curve = 2, point = 413
Index: 415, curve = 2, point = 414
Index: 416, curve = 2, point = 415
Index: 417, curve = 2, point = 416
Index: 418, curve = 2, point = 417
Index: 419, curve = 2, point = 418
Index: 420, curve = 2, point = 419
Index: 421, curve = 2, point = 420
Index: 422, curve = 2, point = 421
Index: 423, curve = 2, point = 422
Index: 424, curve = 2, point = 423
Index: 425, curve = 2, point = 424
Index: 426, curve = 2, point = 425
Index: 427, curve = 2, point = 426
Index: 428, curve = 2, point = 427
Index: 429, curve = 2, point = 428
Index: 430, curve = 2, point = 429
Index: 431, curve = 2, point = 430
Index: 432, curve = 2, point = 431
Index: 433, curve = 2, point = 432
Index: 434, curve = 2, point = 433
Index: 435, curve = 2, point = 434
Index: 436, curve = 2, point = 435
Index: 437, curve = 2, point = 436
Index: 438, curve = 2, point = 437
Index: 439, curve = 2, point = 438
Index: 440, curve = 2, point = 439
Index: 441, curve = 2, point = 440
Index: 442, curve = 2, point = 441
Index: 443, curve = 2, point = 442
Index: 444, curve = 2, point = 443
Index: 445, curve = 2, point = 444
Index: 446, curve = 2, point = 445
Index: 447, curve = 2, point = 446
Index: 448, curve = 2, point = 447
Index: 449, curve = 2, point = 448
Index: 450, curve = 2, point = 449
Index: 451, curve = 2, point = 450
Index: 452, curve = 2, point = 451
Index: 453, curve = 2, point = 452
Index: 454, curve = 2, point = 453
Index: 455, curve = 2, point = 454
Index: 456, curve = 2, point = 455
Index: 457, curve = 2, point = 456
Index: 458, curve = 2, point = 457
Index: 459, curve = 2, point = 458
Index: 460, curve = 2, point = 459
Index: 461, curve = 2, point = 460
Index: 462, curve = 2, point = 461
